Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit_Risk,Total_Credit_Score,reject
50,male,Skilled,free,little,moderate,6224,48,education,Bad,472.1678842232492,Rejected
41,male,Highly Skilled,own,little,little,6313,24,car,Bad,477.3190521336559,Rejected
55,male,Highly Skilled,free,little,moderate,9283,42,car,Bad,421.9238497694131,Rejected
54,female,Skilled,rent,little,moderate,7432,36,car,Bad,477.1721176887414,Rejected
47,male,Skilled,free,little,little,8335,36,car,Bad,480.98824621816965,Rejected
38,male,Skilled,free,little,moderate,6681,48,business,Bad,458.1502978111612,Rejected
23,male,Skilled,own,little,moderate,15672,48,business,Bad,467.85012772715356,Rejected
34,male,Highly Skilled,own,little,little,6614,36,car,Bad,451.54089212591816,Rejected
40,male,Skilled,rent,little,little,7824,28,car,Bad,474.32435681127856,Rejected
31,male,Highly Skilled,own,little,little,8947,36,car,Bad,451.54089212591816,Rejected
32,female,Highly Skilled,own,little,moderate,18424,48,vacation/others,Bad,447.8635335603243,Rejected
37,male,Highly Skilled,own,quite rich,little,12749,48,radio/TV,Bad,463.08288490399207,Rejected
39,male,Skilled,free,little,little,10297,48,car,Bad,454.76075083641285,Rejected
46,male,Highly Skilled,own,little,little,6842,24,car,Bad,477.3190521336559,Rejected
29,male,Skilled,rent,little,little,7166,42,radio/TV,Bad,471.18878434297017,Rejected
36,male,Skilled,rent,little,little,7297,60,business,Bad,451.48640840427015,Rejected
29,male,Highly Skilled,free,little,little,6579,24,car,Bad,480.7085991084042,Rejected
